runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,\N
114.0,1e-10,5.9,108038.0,4.8994132973121935,1,69000000.0,73026337.0,86796502.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,1e-10,6.6,75844.0,5.324534451341023,0,27000000.0,60527873.0,60527873.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110.0,98.0,7.3,14980.0,5.032086431317179,1,9200000.0,2684904.0,4199334.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
102.0,1e-10,6.1,31757.0,4.520456783830956,1,49000000.0,60477943.0,120592276.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.0,120.0,5.5,16843.0,3.8062265075686863,1,1300000.0,695840.0,1005840.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,72.0,6.4,89495.0,5.237122809378181,1,28000000.0,74058698.0,105159085.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114.0,15.0,6.1,241643.0,5.431244706750364,0,110000000.0,155190832.0,456258539.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130.0,104.0,6.8,41313.0,5.185939377667337,2,27500000.0,4463292.0,15815509.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128.0,123.0,6.4,108526.0,5.327911898054008,2,90000000.0,72708161.0,162753837.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
97.0,1e-10,7.6,39307.0,5.783726672273815,0,1400000.0,845464.0,5552584.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,1e-10,4.0,72351.0,3.1611819239540284,1,35000000.0,33423000.0,99423000.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.0,1e-10,6.3,51848.0,4.900211247631756,2,25000000.0,16648499.0,48481754.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110.0,1e-10,5.4,97601.0,4.432672476565926,1,50000000.0,75941727.0,161941727.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
114.0,102.0,6.8,58410.0,5.359201906806641,1,62000000.0,60022813.0,107822813.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94.0,1e-10,7.7,56676.0,6.068882934392541,1,1900000.0,2962242.0,5617067.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.0,27.0,6.4,25453.0,4.6450614612666055,0,8500000.0,140244.0,198883.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
114.0,11.0,7.3,321780.0,6.679448338295593,1,91000000.0,58236838.0,187861183.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0,109.0,5.7,11035.0,3.772089016984619,1,7000000.0,37295394.0,38158601.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134.0,1e-10,8.0,83305.0,6.537173249121397,1,2000000.0,7600000.0,7600000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92.0,1e-10,3.8,17484.0,2.599452192021699,1,35000000.0,17630465.0,39340177.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.0,63.0,7.6,128201.0,6.444776489504111,1,11000000.0,52929168.0,52929168.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.0,1e-10,4.9,20355.0,3.4448994850156374,0,60000000.0,12069719.0,12069719.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
