runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,production_year,month_sin,month_cos,number_of_professions,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,cluster
120.0,622.0,5.8,9278.0,3.766571748327589,2018,1.0,6.123233995736766e-17,3,1,20000000.0,43549096.0,46627836.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
114.0,208.0,7.2,255556.0,6.464076865526906,2008,1e-10,0.5000000000000001,3,0,18000000.0,5700626.0,27794339.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130.0,59.0,6.4,184529.0,5.577863270447319,2015,0.49999999999999994,1e-10,3,2,170000000.0,93436322.0,206627518.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
95.0,1e-10,6.2,39856.0,4.700346242336096,2012,1e-10,0.8660254037844384,3,1,6000000.0,66351.0,1673635.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100.0,199.0,6.1,19861.0,4.309806387490671,2003,1.0,6.123233995736766e-17,3,1,20000000.0,6882696.0,6882696.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124.0,411.0,6.0,29771.0,4.4156816297785,1999,0.8660254037844387,1e-10,3,2,33000000.0,8408835.0,8408835.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165.0,44.0,6.6,126046.0,5.571201654324542,2008,1e-10,0.8660254037844384,3,1,130000000.0,49554002.0,215080810.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
90.0,1e-10,5.6,50466.0,4.329964317333243,2013,0.8660254037844387,1e-10,3,2,32500000.0,21819348.0,48425971.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103.0,85.0,5.7,14833.0,3.896133659804749,2018,1.2246467991473532e-16,1e-10,3,1,18000000.0,42469946.0,46594261.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98.0,1e-10,6.6,10890.0,4.382074082103125,2006,1e-10,0.5000000000000001,3,1,4700000.0,239962.0,239962.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
